Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
October,ANS Commerce,2017,Gurugram,E-commerce,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",2200000,Pre-Series A
October,Mobileware Technologies,2008,Mumbai,Information Technology & Services,"Amitabh Kanekar, Satyajit Kanekar",Kvanto Payment Services,4700000,
October,GramCover,2016,Noida,Insurance,Dhyanesh Bhatt,"Siana Capital, Inflexor Ventures, Stride Ventures",7000000,Series A
October,BYJU'S,2011,Bangalore,EdTech,"Byju Raveendran, Divya Gokulnath","Oxshott Capital Partners, XN Exponent, Edelweiss",300000000,
October,Hyperface,2021,Bangalore,Information Technology & Services,"Ramanathan RV, Aishwarya Jaishankar","Kunal Shah, Better Capital",1300000,
October,Licious,2015,Bangalore,Food & Beverages,"Vivek Gupta, Abhay",,52000000,Series G
October,Chalo,2014,Mumbai,Mobility,"Vinayak Bhavnani, Mohit Dubey","Lightrock India, Filter Capital",40000000,Series C
October,Kaar Technologies,2005,Chennai,Information Technology & Services,Maran Nagarajan,BlackSoil,4000000,
October,Kissan Pro,2021,Jharkhand,Farming,Ravi Dasoundhi,EKKI,Undisclosed,
October,Sunstone Eduversity,2011,Gurugram,EdTech,"Ashish Munjal, Piyush Nangru",WestBridge Capital,28000000,Series B
October,Ozonetel,2007,Hyderabad,Telecommunications,"CSN Murthy, Atul Sharma",Stakeboat Capital,5000000,Series A
October,CoinSwitch Kuber,2017,Bangalore,Crypto,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Coinbase Ventures, Andreessen Horowitz",260000000,Series C
October,Pazcare,2020,Bangalore,Insurance,"Sanchit Malik, Manish Mishra","BEENEXT, 3one4 Capital",3500000,Seed
October,kWh Bikes,2020,Bangalore,Automotive,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’s Venture, Better Capital",2000000,Seed
October,IBSFINtech,2006,Bangalore,Information Technology & Services,"C M Grover, TM Manjunath",,1000000,Pre-Series A
October,LeadSquared,2011,Bangalore,Computer Software,Nilesh Patel,International Finance Corporation,Undisclosed,
October,Phool.co,2017,Kanpur,Renewables & Environment,Ankit Agarwal,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",Undisclosed,
October,Twin Health,2018,Chennai,"Health, Wellness & Fitness",Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",140000000,Series C
October,Trica,2021,Mumbai,Equity Management,Nimesh Kampani,LetsVenture,3000000,Seed
